,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
707,All bedrooms,Dublin,1682.67,18395,1458154,1298.127292225201,0.0914743136721935,9895.73,13623.77,1383.09,11525.39,792.11,70886
708,1 to 3 bed,Dublin,1682.45,18395,1458154,1230.7152459016395,0.0914623539005164,9895.73,13623.77,1383.09,11525.39,792.11,70886
709,Three bed,Dublin,1678.0,18395,1458154,1385.131496350365,0.0912204403370481,9895.73,13623.77,1383.09,11525.39,792.11,70886
710,1 to 3 bed,Dublin,1677.99,18395,1458154,1230.7152459016395,0.0912198967110627,9895.73,13623.77,1383.09,11525.39,792.11,70886
711,Two bed,Dublin,1677.84,18395,1458154,1274.9833802816902,0.0912117423212829,9895.73,13623.77,1383.09,11525.39,792.11,70886
712,1 to 2 bed,Dublin,1677.03,18395,1458154,1184.0090322580645,0.0911677086164718,9895.73,13623.77,1383.09,11525.39,792.11,70886
713,All bedrooms,Dublin,1676.26,18395,1458154,1298.127292225201,0.091125849415602,9895.73,13623.77,1383.09,11525.39,792.11,70886
714,1 to 3 bed,Dublin,1675.8,18395,1458154,1230.7152459016395,0.0911008426202772,9895.73,13623.77,1383.09,11525.39,792.11,70886
715,All bedrooms,Dublin,1673.74,18395,1458154,1298.127292225201,0.0909888556673009,9895.73,13623.77,1383.09,11525.39,792.11,70886
716,All bedrooms,Dublin,1673.08,18395,1458154,1298.127292225201,0.0909529763522696,9895.73,13623.77,1383.09,11525.39,792.11,70886
717,Two bed,Dublin,1671.74,18395,1458154,1274.9833802816902,0.0908801304702364,9895.73,13623.77,1383.09,11525.39,792.11,70886
718,1 to 2 bed,Dublin,1670.66,18395,1458154,1184.0090322580645,0.0908214188638217,9895.73,13623.77,1383.09,11525.39,792.11,70886
719,Two bed,Dublin,1669.76,18395,1458154,1274.9833802816902,0.0907724925251427,9895.73,13623.77,1383.09,11525.39,792.11,70886
720,All bedrooms,Dublin,1669.55,18395,1458154,1298.127292225201,0.0907610763794509,9895.73,13623.77,1383.09,11525.39,792.11,70886
721,Two bed,Dublin,1668.59,18395,1458154,1274.9833802816902,0.09070888828486,9895.73,13623.77,1383.09,11525.39,792.11,70886
722,Two bed,Dublin,1668.37,18395,1458154,1274.9833802816902,0.0906969285131829,9895.73,13623.77,1383.09,11525.39,792.11,70886
723,Two bed,Dublin,1668.13,18395,1458154,1274.9833802816902,0.0906838814895352,9895.73,13623.77,1383.09,11525.39,792.11,70886
724,1 to 3 bed,Dublin,1662.78,18395,1458154,1230.7152459016395,0.0903930415873878,9895.73,13623.77,1383.09,11525.39,792.11,70886
725,1 to 2 bed,Dublin,1662.01,18395,1458154,1184.0090322580645,0.090351182386518,9895.73,13623.77,1383.09,11525.39,792.11,70886
726,1 to 3 bed,Dublin,1661.59,18395,1458154,1230.7152459016395,0.0903283500951345,9895.73,13623.77,1383.09,11525.39,792.11,70886
727,1 to 2 bed,Dublin,1660.76,18395,1458154,1184.0090322580645,0.0902832291383528,9895.73,13623.77,1383.09,11525.39,792.11,70886
728,Three bed,Dublin,1660.68,18395,1458154,1385.131496350365,0.0902788801304702,9895.73,13623.77,1383.09,11525.39,792.11,70886
729,1 to 3 bed,Dublin,1659.5,18395,1458154,1230.7152459016395,0.0902147322642022,9895.73,13623.77,1383.09,11525.39,792.11,70886
730,All bedrooms,Dublin,1659.34,18395,1458154,1298.127292225201,0.090206034248437,9895.73,13623.77,1383.09,11525.39,792.11,70886
731,Two bed,Dublin,1659.14,18395,1458154,1274.9833802816902,0.0901951617287306,9895.73,13623.77,1383.09,11525.39,792.11,70886
732,1 to 3 bed,Dublin,1659.1,18395,1458154,1230.7152459016395,0.0901929872247893,9895.73,13623.77,1383.09,11525.39,792.11,70886
733,Two bed,Dublin,1656.93,18395,1458154,1274.9833802816902,0.0900750203859744,9895.73,13623.77,1383.09,11525.39,792.11,70886
734,All bedrooms,Dublin,1655.96,18395,1458154,1298.127292225201,0.0900222886653982,9895.73,13623.77,1383.09,11525.39,792.11,70886
735,Three bed,Dublin,1655.74,18395,1458154,1385.131496350365,0.0900103288937211,9895.73,13623.77,1383.09,11525.39,792.11,70886
736,All bedrooms,Dublin,1653.4,18395,1458154,1298.127292225201,0.0898831204131557,9895.73,13623.77,1383.09,11525.39,792.11,70886
737,One bed,Dublin,1652.43,18395,1458154,1057.0936904761904,0.0898303886925795,9895.73,13623.77,1383.09,11525.39,792.11,70886
738,1 to 2 bed,Dublin,1651.95,18395,1458154,1184.0090322580645,0.089804294645284,9895.73,13623.77,1383.09,11525.39,792.11,70886
739,1 to 2 bed,Dublin,1649.17,18395,1458154,1184.0090322580645,0.0896531666213645,9895.73,13623.77,1383.09,11525.39,792.11,70886
740,1 to 3 bed,Dublin,1648.82,18395,1458154,1230.7152459016395,0.0896341397118782,9895.73,13623.77,1383.09,11525.39,792.11,70886
741,All bedrooms,Dublin,1648.02,18395,1458154,1298.127292225201,0.0895906496330524,9895.73,13623.77,1383.09,11525.39,792.11,70886
742,1 to 2 bed,Dublin,1647.29,18395,1458154,1184.0090322580645,0.0895509649361239,9895.73,13623.77,1383.09,11525.39,792.11,70886
743,All bedrooms,Dublin,1646.82,18395,1458154,1298.127292225201,0.0895254145148138,9895.73,13623.77,1383.09,11525.39,792.11,70886
744,Two bed,Dublin,1644.21,18395,1458154,1274.9833802816902,0.0893835281326447,9895.73,13623.77,1383.09,11525.39,792.11,70886
745,All bedrooms,Dublin,1643.63,18395,1458154,1298.127292225201,0.089351997825496,9895.73,13623.77,1383.09,11525.39,792.11,70886
746,1 to 2 bed,Dublin,1642.53,18395,1458154,1184.0090322580645,0.0892921989671106,9895.73,13623.77,1383.09,11525.39,792.11,70886
747,All bedrooms,Dublin,1640.5,18395,1458154,1298.127292225201,0.0891818428920902,9895.73,13623.77,1383.09,11525.39,792.11,70886
748,1 to 3 bed,Dublin,1639.71,18395,1458154,1230.7152459016395,0.0891388964392498,9895.73,13623.77,1383.09,11525.39,792.11,70886
749,Two bed,Dublin,1639.25,18395,1458154,1274.9833802816902,0.0891138896439249,9895.73,13623.77,1383.09,11525.39,792.11,70886
750,Two bed,Dublin,1637.96,18395,1458154,1274.9833802816902,0.0890437618918184,9895.73,13623.77,1383.09,11525.39,792.11,70886
751,One bed,Dublin,1637.63,18395,1458154,1057.0936904761904,0.0890258222343028,9895.73,13623.77,1383.09,11525.39,792.11,70886
752,Three bed,Dublin,1637.44,18395,1458154,1385.131496350365,0.0890154933405816,9895.73,13623.77,1383.09,11525.39,792.11,70886
753,All bedrooms,Dublin,1636.2,18395,1458154,1298.127292225201,0.0889480837184017,9895.73,13623.77,1383.09,11525.39,792.11,70886
754,Two bed,Dublin,1635.83,18395,1458154,1274.9833802816902,0.0889279695569448,9895.73,13623.77,1383.09,11525.39,792.11,70886
755,All bedrooms,Dublin,1635.72,18395,1458154,1298.127292225201,0.0889219896711062,9895.73,13623.77,1383.09,11525.39,792.11,70886
756,Two bed,Dublin,1634.81,18395,1458154,1274.9833802816902,0.0888725197064419,9895.73,13623.77,1383.09,11525.39,792.11,70886
757,1 to 3 bed,Dublin,1634.02,18395,1458154,1230.7152459016395,0.0888295732536015,9895.73,13623.77,1383.09,11525.39,792.11,70886
758,1 to 2 bed,Dublin,1632.7,18395,1458154,1184.0090322580645,0.088757814623539,9895.73,13623.77,1383.09,11525.39,792.11,70886
759,Two bed,Dublin,1631.89,18395,1458154,1274.9833802816902,0.0887137809187279,9895.73,13623.77,1383.09,11525.39,792.11,70886
760,Two bed,Dublin,1628.55,18395,1458154,1274.9833802816902,0.0885322098396303,9895.73,13623.77,1383.09,11525.39,792.11,70886
761,All bedrooms,Dublin,1628.52,18395,1458154,1298.127292225201,0.0885305789616743,9895.73,13623.77,1383.09,11525.39,792.11,70886
762,1 to 3 bed,Dublin,1628.14,18395,1458154,1230.7152459016395,0.0885099211742321,9895.73,13623.77,1383.09,11525.39,792.11,70886
763,1 to 3 bed,Dublin,1625.19,18395,1458154,1230.7152459016395,0.0883495515085621,9895.73,13623.77,1383.09,11525.39,792.11,70886
764,1 to 2 bed,Dublin,1623.82,18395,1458154,1184.0090322580645,0.0882750747485729,9895.73,13623.77,1383.09,11525.39,792.11,70886
765,All bedrooms,Dublin,1623.19,18395,1458154,1298.127292225201,0.0882408263114977,9895.73,13623.77,1383.09,11525.39,792.11,70886
766,Two bed,Dublin,1622.95,18395,1458154,1274.9833802816902,0.0882277792878499,9895.73,13623.77,1383.09,11525.39,792.11,70886
767,One bed,Dublin,1622.66,18395,1458154,1057.0936904761904,0.0882120141342756,9895.73,13623.77,1383.09,11525.39,792.11,70886
768,Two bed,Dublin,1622.56,18395,1458154,1274.9833802816902,0.0882065778744223,9895.73,13623.77,1383.09,11525.39,792.11,70886
769,1 to 2 bed,Dublin,1621.34,18395,1458154,1184.0090322580645,0.0881402555042131,9895.73,13623.77,1383.09,11525.39,792.11,70886
770,All bedrooms,Dublin,1620.09,18395,1458154,1298.127292225201,0.0880723022560478,9895.73,13623.77,1383.09,11525.39,792.11,70886
771,1 to 3 bed,Dublin,1618.86,18395,1458154,1230.7152459016395,0.0880054362598532,9895.73,13623.77,1383.09,11525.39,792.11,70886
772,1 to 2 bed,Dublin,1618.08,18395,1458154,1184.0090322580645,0.087963033432998,9895.73,13623.77,1383.09,11525.39,792.11,70886
773,1 to 3 bed,Dublin,1617.65,18395,1458154,1230.7152459016395,0.0879396575156292,9895.73,13623.77,1383.09,11525.39,792.11,70886
774,1 to 3 bed,Dublin,1616.57,18395,1458154,1230.7152459016395,0.0878809459092144,9895.73,13623.77,1383.09,11525.39,792.11,70886
775,1 to 3 bed,Dublin,1616.48,18395,1458154,1230.7152459016395,0.0878760532753465,9895.73,13623.77,1383.09,11525.39,792.11,70886
776,1 to 2 bed,Dublin,1616.04,18395,1458154,1184.0090322580645,0.0878521337319923,9895.73,13623.77,1383.09,11525.39,792.11,70886
777,1 to 3 bed,Dublin,1615.48,18395,1458154,1230.7152459016395,0.0878216906768143,9895.73,13623.77,1383.09,11525.39,792.11,70886
778,1 to 2 bed,Dublin,1615.45,18395,1458154,1184.0090322580645,0.0878200597988583,9895.73,13623.77,1383.09,11525.39,792.11,70886
779,1 to 3 bed,Dublin,1615.33,18395,1458154,1230.7152459016395,0.0878135362870345,9895.73,13623.77,1383.09,11525.39,792.11,70886
780,1 to 3 bed,Dublin,1612.48,18395,1458154,1230.7152459016395,0.0876586028812177,9895.73,13623.77,1383.09,11525.39,792.11,70886
781,One bed,Dublin,1610.89,18395,1458154,1057.0936904761904,0.0875721663495515,9895.73,13623.77,1383.09,11525.39,792.11,70886
782,All bedrooms,Dublin,1610.47,18395,1458154,1298.127292225201,0.0875493340581679,9895.73,13623.77,1383.09,11525.39,792.11,70886
783,Two bed,Dublin,1609.76,18395,1458154,1274.9833802816902,0.0875107366132101,9895.73,13623.77,1383.09,11525.39,792.11,70886
784,One bed,Dublin,1608.34,18395,1458154,1057.0936904761904,0.0874335417232943,9895.73,13623.77,1383.09,11525.39,792.11,70886
785,Two bed,Dublin,1608.11,18395,1458154,1274.9833802816902,0.0874210383256319,9895.73,13623.77,1383.09,11525.39,792.11,70886
786,1 to 2 bed,Dublin,1608.1,18395,1458154,1184.0090322580645,0.0874204946996466,9895.73,13623.77,1383.09,11525.39,792.11,70886
787,1 to 3 bed,Dublin,1606.71,18395,1458154,1230.7152459016395,0.0873449306876868,9895.73,13623.77,1383.09,11525.39,792.11,70886
788,Three bed,Dublin,1606.17,18395,1458154,1385.131496350365,0.0873155748844794,9895.73,13623.77,1383.09,11525.39,792.11,70886
789,All bedrooms,Dublin,1604.78,18395,1458154,1298.127292225201,0.0872400108725197,9895.73,13623.77,1383.09,11525.39,792.11,70886
790,One bed,Dublin,1603.74,18395,1458154,1057.0936904761904,0.0871834737700462,9895.73,13623.77,1383.09,11525.39,792.11,70886
791,All bedrooms,Dublin,1602.26,18395,1458154,1298.127292225201,0.0871030171242185,9895.73,13623.77,1383.09,11525.39,792.11,70886
792,1 to 3 bed,Dublin,1598.72,18395,1458154,1230.7152459016395,0.0869105735254145,9895.73,13623.77,1383.09,11525.39,792.11,70886
793,Two bed,Dublin,1597.91,18395,1458154,1274.9833802816902,0.0868665398206034,9895.73,13623.77,1383.09,11525.39,792.11,70886
794,1 to 2 bed,Dublin,1593.58,18395,1458154,1184.0090322580645,0.0866311497689589,9895.73,13623.77,1383.09,11525.39,792.11,70886
795,1 to 2 bed,Dublin,1592.61,18395,1458154,1184.0090322580645,0.0865784180483827,9895.73,13623.77,1383.09,11525.39,792.11,70886
796,All bedrooms,Dublin,1592.01,18395,1458154,1298.127292225201,0.0865458004892633,9895.73,13623.77,1383.09,11525.39,792.11,70886
797,1 to 2 bed,Dublin,1590.16,18395,1458154,1184.0090322580645,0.0864452296819788,9895.73,13623.77,1383.09,11525.39,792.11,70886
798,1 to 3 bed,Dublin,1590.05,18395,1458154,1230.7152459016395,0.0864392497961402,9895.73,13623.77,1383.09,11525.39,792.11,70886
799,Two bed,Dublin,1589.13,18395,1458154,1274.9833802816902,0.0863892362054906,9895.73,13623.77,1383.09,11525.39,792.11,70886
800,1 to 2 bed,Dublin,1587.73,18395,1458154,1184.0090322580645,0.0863131285675455,9895.73,13623.77,1383.09,11525.39,792.11,70886
801,Two bed,Dublin,1587.32,18395,1458154,1274.9833802816902,0.0862908399021473,9895.73,13623.77,1383.09,11525.39,792.11,70886
802,Two bed,Dublin,1587.24,18395,1458154,1274.9833802816902,0.0862864908942647,9895.73,13623.77,1383.09,11525.39,792.11,70886
803,One bed,Dublin,1586.98,18395,1458154,1057.0936904761904,0.0862723566186463,9895.73,13623.77,1383.09,11525.39,792.11,70886
804,Two bed,Dublin,1586.86,18395,1458154,1274.9833802816902,0.0862658331068225,9895.73,13623.77,1383.09,11525.39,792.11,70886
805,1 to 2 bed,Dublin,1586.14,18395,1458154,1184.0090322580645,0.0862266920358793,9895.73,13623.77,1383.09,11525.39,792.11,70886
806,1 to 3 bed,Dublin,1585.73,18395,1458154,1230.7152459016395,0.0862044033704811,9895.73,13623.77,1383.09,11525.39,792.11,70886
807,Two bed,Dublin,1585.69,18395,1458154,1274.9833802816902,0.0862022288665398,9895.73,13623.77,1383.09,11525.39,792.11,70886
808,1 to 3 bed,Dublin,1585.46,18395,1458154,1230.7152459016395,0.0861897254688774,9895.73,13623.77,1383.09,11525.39,792.11,70886
809,1 to 2 bed,Dublin,1584.32,18395,1458154,1184.0090322580645,0.0861277521065506,9895.73,13623.77,1383.09,11525.39,792.11,70886
810,1 to 2 bed,Dublin,1584.27,18395,1458154,1184.0090322580645,0.086125033976624,9895.73,13623.77,1383.09,11525.39,792.11,70886
811,One bed,Dublin,1584.08,18395,1458154,1057.0936904761904,0.0861147050829029,9895.73,13623.77,1383.09,11525.39,792.11,70886
812,All bedrooms,Dublin,1583.73,18395,1458154,1298.127292225201,0.0860956781734166,9895.73,13623.77,1383.09,11525.39,792.11,70886
813,All bedrooms,Dublin,1582.74,18395,1458154,1298.127292225201,0.0860418592008698,9895.73,13623.77,1383.09,11525.39,792.11,70886
814,1 to 2 bed,Dublin,1582.01,18395,1458154,1184.0090322580645,0.0860021745039412,9895.73,13623.77,1383.09,11525.39,792.11,70886
815,1 to 2 bed,Dublin,1581.06,18395,1458154,1184.0090322580645,0.0859505300353356,9895.73,13623.77,1383.09,11525.39,792.11,70886
816,1 to 3 bed,Dublin,1579.57,18395,1458154,1230.7152459016395,0.0858695297635226,9895.73,13623.77,1383.09,11525.39,792.11,70886
817,One bed,Dublin,1579.3,18395,1458154,1057.0936904761904,0.0858548518619189,9895.73,13623.77,1383.09,11525.39,792.11,70886
818,All bedrooms,Dublin,1579.07,18395,1458154,1298.127292225201,0.0858423484642565,9895.73,13623.77,1383.09,11525.39,792.11,70886
819,Two bed,Dublin,1573.98,18395,1458154,1274.9833802816902,0.0855656428377276,9895.73,13623.77,1383.09,11525.39,792.11,70886
820,All bedrooms,Dublin,1573.27,18395,1458154,1298.127292225201,0.0855270453927697,9895.73,13623.77,1383.09,11525.39,792.11,70886
821,All bedrooms,Dublin,1573.19,18395,1458154,1298.127292225201,0.0855226963848872,9895.73,13623.77,1383.09,11525.39,792.11,70886
822,All bedrooms,Dublin,1571.87,18395,1458154,1298.127292225201,0.0854509377548246,9895.73,13623.77,1383.09,11525.39,792.11,70886
823,1 to 2 bed,Dublin,1571.23,18395,1458154,1184.0090322580645,0.085416145691764,9895.73,13623.77,1383.09,11525.39,792.11,70886
824,1 to 2 bed,Dublin,1570.75,18395,1458154,1184.0090322580645,0.0853900516444686,9895.73,13623.77,1383.09,11525.39,792.11,70886
825,1 to 3 bed,Dublin,1569.07,18395,1458154,1230.7152459016395,0.0852987224789344,9895.73,13623.77,1383.09,11525.39,792.11,70886
826,One bed,Dublin,1567.19,18395,1458154,1057.0936904761904,0.0851965207936939,9895.73,13623.77,1383.09,11525.39,792.11,70886
827,1 to 3 bed,Dublin,1565.39,18395,1458154,1230.7152459016395,0.0850986681163359,9895.73,13623.77,1383.09,11525.39,792.11,70886
828,1 to 3 bed,Dublin,1561.48,18395,1458154,1230.7152459016395,0.084886110356075,9895.73,13623.77,1383.09,11525.39,792.11,70886
829,1 to 2 bed,Dublin,1561.2,18395,1458154,1184.0090322580645,0.084870888828486,9895.73,13623.77,1383.09,11525.39,792.11,70886
830,One bed,Dublin,1560.67,18395,1458154,1057.0936904761904,0.0848420766512639,9895.73,13623.77,1383.09,11525.39,792.11,70886
831,Two bed,Dublin,1560.22,18395,1458154,1274.9833802816902,0.0848176134819244,9895.73,13623.77,1383.09,11525.39,792.11,70886
832,1 to 3 bed,Dublin,1559.4,18395,1458154,1230.7152459016395,0.084773036151128,9895.73,13623.77,1383.09,11525.39,792.11,70886
833,1 to 3 bed,Dublin,1558.47,18395,1458154,1230.7152459016395,0.084722478934493,9895.73,13623.77,1383.09,11525.39,792.11,70886
834,1 to 3 bed,Dublin,1557.55,18395,1458154,1230.7152459016395,0.0846724653438434,9895.73,13623.77,1383.09,11525.39,792.11,70886
835,All bedrooms,Dublin,1557.35,18395,1458154,1298.127292225201,0.0846615928241369,9895.73,13623.77,1383.09,11525.39,792.11,70886
836,One bed,Dublin,1553.59,18395,1458154,1057.0936904761904,0.0844571894536558,9895.73,13623.77,1383.09,11525.39,792.11,70886
837,Two bed,Dublin,1551.07,18395,1458154,1274.9833802816902,0.0843201957053547,9895.73,13623.77,1383.09,11525.39,792.11,70886
838,1 to 3 bed,Dublin,1549.43,18395,1458154,1230.7152459016395,0.0842310410437618,9895.73,13623.77,1383.09,11525.39,792.11,70886
839,1 to 2 bed,Dublin,1548.43,18395,1458154,1184.0090322580645,0.0841766784452296,9895.73,13623.77,1383.09,11525.39,792.11,70886
840,One bed,Dublin,1547.72,18395,1458154,1057.0936904761904,0.0841380810002718,9895.73,13623.77,1383.09,11525.39,792.11,70886
841,All bedrooms,Dublin,1545.12,18395,1458154,1298.127292225201,0.083996738244088,9895.73,13623.77,1383.09,11525.39,792.11,70886
842,Two bed,Dublin,1543.41,18395,1458154,1274.9833802816902,0.083903778200598,9895.73,13623.77,1383.09,11525.39,792.11,70886
843,One bed,Dublin,1541.77,18395,1458154,1057.0936904761904,0.0838146235390051,9895.73,13623.77,1383.09,11525.39,792.11,70886
844,1 to 2 bed,Dublin,1538.98,18395,1458154,1184.0090322580645,0.0836629518891003,9895.73,13623.77,1383.09,11525.39,792.11,70886
845,1 to 2 bed,Dublin,1537.96,18395,1458154,1184.0090322580645,0.0836075020385974,9895.73,13623.77,1383.09,11525.39,792.11,70886
846,All bedrooms,Dublin,1536.77,18395,1458154,1298.127292225201,0.0835428105463441,9895.73,13623.77,1383.09,11525.39,792.11,70886
847,Two bed,Dublin,1532.78,18395,1458154,1274.9833802816902,0.0833259037782006,9895.73,13623.77,1383.09,11525.39,792.11,70886
848,1 to 2 bed,Dublin,1532.64,18395,1458154,1184.0090322580645,0.083318293014406,9895.73,13623.77,1383.09,11525.39,792.11,70886
849,1 to 3 bed,Dublin,1528.5,18395,1458154,1230.7152459016395,0.0830932318564827,9895.73,13623.77,1383.09,11525.39,792.11,70886
850,All bedrooms,Dublin,1526.87,18395,1458154,1298.127292225201,0.0830046208208752,9895.73,13623.77,1383.09,11525.39,792.11,70886
851,1 to 2 bed,Dublin,1524.66,18395,1458154,1184.0090322580645,0.082884479478119,9895.73,13623.77,1383.09,11525.39,792.11,70886
852,1 to 2 bed,Dublin,1523.65,18395,1458154,1184.0090322580645,0.0828295732536015,9895.73,13623.77,1383.09,11525.39,792.11,70886
853,1 to 3 bed,Dublin,1523.53,18395,1458154,1230.7152459016395,0.0828230497417776,9895.73,13623.77,1383.09,11525.39,792.11,70886
854,1 to 3 bed,Dublin,1523.32,18395,1458154,1230.7152459016395,0.0828116335960858,9895.73,13623.77,1383.09,11525.39,792.11,70886
855,1 to 2 bed,Dublin,1522.86,18395,1458154,1184.0090322580645,0.082786626800761,9895.73,13623.77,1383.09,11525.39,792.11,70886
856,1 to 3 bed,Dublin,1522.41,18395,1458154,1230.7152459016395,0.0827621636314215,9895.73,13623.77,1383.09,11525.39,792.11,70886
857,1 to 2 bed,Dublin,1516.41,18395,1458154,1184.0090322580645,0.0824359880402283,9895.73,13623.77,1383.09,11525.39,792.11,70886
858,1 to 3 bed,Dublin,1514.76,18395,1458154,1230.7152459016395,0.0823462897526501,9895.73,13623.77,1383.09,11525.39,792.11,70886
859,All bedrooms,Dublin,1514.03,18395,1458154,1298.127292225201,0.0823066050557216,9895.73,13623.77,1383.09,11525.39,792.11,70886
